,Bacteria,Gram_Staining,Antibiotic,MIC
1,Aerobacter aerogenes,negative,Neomycin,1.6
2,Brucella abortus,negative,Neomycin,0.02
3,Escherichia coli,negative,Neomycin,0.1
4,Klebsiella pneumoniae,negative,Neomycin,1
5,Mycobacterium tuberculosis,negative,Neomycin,2
6,Proteus vulgaris,negative,Neomycin,0.1
7,Pseudomonas aeruginosa,negative,Neomycin,0.4
8,Salmonella (Eberthella) typhosa,negative,Neomycin,0.008
9,Salmonella schottmuelleri,negative,Neomycin,0.09
10,Brucella anthracis,positive,Neomycin,0.007
11,Diplococcus pneumoniae,positive,Neomycin,10
12,Staphylococcus albus,positive,Neomycin,0.001
13,Staphylococcus aureus,positive,Neomycin,0.001
14,Streptococcus fecalis,positive,Neomycin,0.1
15,Streptococcus hemolyticus,positive,Neomycin,10
16,Streptococcus viridans,positive,Neomycin,40
17,Aerobacter aerogenes,negative,Penicillin,870
18,Brucella abortus,negative,Penicillin,1
19,Escherichia coli,negative,Penicillin,100
20,Klebsiella pneumoniae,negative,Penicillin,850
21,Mycobacterium tuberculosis,negative,Penicillin,800
22,Proteus vulgaris,negative,Penicillin,3
23,Pseudomonas aeruginosa,negative,Penicillin,850
24,Salmonella (Eberthella) typhosa,negative,Penicillin,1
25,Salmonella schottmuelleri,negative,Penicillin,10
26,Brucella anthracis,positive,Penicillin,0.001
27,Diplococcus pneumoniae,positive,Penicillin,0.005
28,Staphylococcus albus,positive,Penicillin,0.007
29,Staphylococcus aureus,positive,Penicillin,0.03
30,Streptococcus fecalis,positive,Penicillin,1
31,Streptococcus hemolyticus,positive,Penicillin,0.001
32,Streptococcus viridans,positive,Penicillin,0.005
33,Aerobacter aerogenes,negative,Streptomycin,1
34,Brucella abortus,negative,Streptomycin,2
35,Escherichia coli,negative,Streptomycin,0.4
36,Klebsiella pneumoniae,negative,Streptomycin,1.2
37,Mycobacterium tuberculosis,negative,Streptomycin,5
38,Proteus vulgaris,negative,Streptomycin,0.1
39,Pseudomonas aeruginosa,negative,Streptomycin,2
40,Salmonella (Eberthella) typhosa,negative,Streptomycin,0.4
41,Salmonella schottmuelleri,negative,Streptomycin,0.8
42,Brucella anthracis,positive,Streptomycin,0.01
43,Diplococcus pneumoniae,positive,Streptomycin,11
44,Staphylococcus albus,positive,Streptomycin,0.1
45,Staphylococcus aureus,positive,Streptomycin,0.03
46,Streptococcus fecalis,positive,Streptomycin,1
47,Streptococcus hemolyticus,positive,Streptomycin,14
48,Streptococcus viridans,positive,Streptomycin,10
